state,order_quantity
andaman & nicobar ,210
andhra pradesh,4380
arunachal pradesh,122
assam,1421
bihar,1780
chandigarh,280
chhattisgarh,786
dadra and nagar,51
delhi,5947
goa,991
gujarat,3630
haryana,3778
himachal pradesh,639
jammu & kashmir,587
jharkhand,1206
karnataka,14747
kerala,5370
ladakh,39
lakshadweep,3
madhya pradesh,2106
maharashtra,18771
manipur,268
meghalaya,171
mizoram,66
nagaland,161
odisha,1799
orissa,2
puducherry,269
punjab,1606
rajasthan,2218
sikkim,174
tamil nadu,9486
telangana,9356
tripura,126
uttar pradesh,8830
uttarakhand,1314
west bengal,4989
